Region,Median Household Income,Poverty Rate,Z_Income,Z_Poverty,Disparity_Score
Miller County,49983.0,21.0,-0.7729708805805556,0.8878026339152696,1.6607735144958253
Crittenden County,54271.0,20.7,-0.4154904323488767,0.8206578968964675,1.2361483292453443
Arkansas County,54000.0,19.3,-0.43808306328889185,0.5073157908087255,0.9453988540976173
Bowie County,59295.0,17.0,0.003348600280776952,-0.007460526335422808,-0.01080912661619976
Anderson County,55000.0,15.0,-0.35471542144381746,-0.45509210646076903,-0.10037668501695157
DeSoto County,82980.0,9.2,1.9779111973813635,-1.7532236888242732,-3.731134886205637
